Date,Home Team,Away Team,Venue
17-Sep-2025,KSB B,Vanguard Phantoms,Kay St Rawtenstall
24-Sep-2025,Ramsbottom A,KSB B,HTTC
01-Oct-2025,KSB B,KSB A,Kay St Rawtenstall
06-Oct-2025,Whalley Eagles,KSB B,HTTC
22-Oct-2025,KSB B,Whalley Kestrels,Kay St Rawtenstall
27-Oct-2025,Vanguard Raptors,KSB B,Vanguard Com Centre
05-Nov-2025,KSB B,Spartans,Kay St Rawtenstall
19-Nov-2025,KSB B,Rovers,Kay St Rawtenstall
25-Nov-2025,Sultans of Spin,KSB B,HTTC
01-Dec-2025,Vanguard Phantoms,KSB B,Vanguard Com Centre
10-Dec-2025,KSB B,Ramsbottom A,Kay St Rawtenstall
07-Jan-2026,KSB A,KSB B,Kay St Rawtenstall
21-Jan-2026,KSB B,Whalley Eagles,Kay St Rawtenstall
28-Jan-2026,Whalley Kestrels,KSB B,Whalley Village Hall
