Date,Home Team,Away Team,Venue
17-Sep-2025,KSB C,Vanguard Jets,Kay St Rawtenstall
23-Sep-2025,Misfits ,KSB C,HTTC
01-Oct-2025,KSB C,Past Masters,Kay St Rawtenstall
07-Oct-2025,KSB E,KSB C,Kay St Rawtenstall
22-Oct-2025,KSB C,Whalley Hawks,Kay St Rawtenstall
30-Oct-2025,Burnley Hornets,KSB C,St Peters Centre
05-Nov-2025,KSB C,Ramsbottom B,Kay St Rawtenstall
19-Nov-2025,KSB C,Wheelton,Kay St Rawtenstall
25-Nov-2025,KSB D,KSB C,Kay St Rawtenstall
01-Dec-2025,Vanguard Jets,KSB C,Vanguard Com Centre
10-Dec-2025,KSB C,Misfits ,Kay St Rawtenstall
06-Jan-2026,Past Masters,KSB C,HTTC
21-Jan-2026,KSB C,KSB E,Kay St Rawtenstall
27-Jan-2026,Whalley Hawks,KSB C,HTTC
