Date,Home Team,Away Team,Venue
16-Sep-2025,KSB D,Wheelton,Kay St Rawtenstall
22-Sep-2025,Vanguard Jets,KSB D,Vanguard Com Centre
30-Sep-2025,KSB D,Misfits ,Kay St Rawtenstall
07-Oct-2025,Past Masters,KSB D,HTTC
21-Oct-2025,KSB D,KSB E,Kay St Rawtenstall
28-Oct-2025,Whalley Hawks,KSB D,HTTC
04-Nov-2025,KSB D,Burnley Hornets,Kay St Rawtenstall
20-Nov-2025,Ramsbottom B,KSB D,Ramsbottom CC
25-Nov-2025,KSB D,KSB C,Kay St Rawtenstall
03-Dec-2025,Wheelton,KSB D,Wheelton Village Hall
09-Dec-2025,KSB D,Vanguard Jets,Kay St Rawtenstall
06-Jan-2026,Misfits ,KSB D,HTTC
20-Jan-2026,KSB D,Past Masters,Kay St Rawtenstall
27-Jan-2026,KSB E,KSB D,Kay St Rawtenstall
