Date,Home Team,Away Team,Venue
18-Sep-2025,Whalley Ospreys,KSB F,HTTC
23-Sep-2025,KSB F,Vanguard Tornados,Kay St Rawtentstall
29-Sep-2025,Doals,KSB F,Doals Centre Weir
07-Oct-2025,KSB F,KSB Tigers (Jun),Kay St Rawtenstall
21-Oct-2025,KSB Lions,KSB F,Kay St Rawtentstall
28-Oct-2025,KSB F,Burnley Bees,Kay St Rawtentstall
05-Nov-2025,Slayers,KSB F,HTTC
18-Nov-2025,KSB F,Brierfield,Kay St Rawtentstall
26-Nov-2025,Whalley Harriers,KSB F,Whalley Village Hall
02-Dec-2025,KSB F,Whalley Ospreys,Kay St Rawtentstall
08-Dec-2025,Vanguard Tornados,KSB F,Vanguard Com Centre
06-Jan-2026,KSB F,Doals,Kay St Rawtentstall
19-Jan-2026,KSB Tigers (Jun),KSB F,Kay St Rawtenstall
27-Jan-2026,KSB F,KSB Lions,Kay St Rawtentstall
