Date,Home Team,Away Team,Venue
18-Sep-2025,Burnley Wasps,KSB G,St Peters Centre
24-Sep-2025,KSB G,Hyndburn TTC,Kay St Rawtenstall
29-Sep-2025,KSB Leopards (Jun),KSB G,Kay St Rawtenstall
08-Oct-2025,KSB G,KSB Jaguars,Kay St Rawtenstall
23-Oct-2025,Burnley Scorpions,KSB G,St Peters Centre
29-Oct-2025,KSB G,KSB Panthers (Jun),Kay St Rawtenstall
05-Nov-2025,Whalley Merlins,KSB G,Whalley Village Hall
17-Nov-2025,KSB Pumas (Jun),KSB G,Kay St Rawtenstall
26-Nov-2025,KSB G,Whalley Kites,Kay St Rawtenstall
03-Dec-2025,KSB G,Burnley Wasps,Kay St Rawtenstall
08-Dec-2025,Hyndburn TTC,KSB G,HTTC
07-Jan-2026,KSB G,KSB Leopards (Jun),Kay St Rawtenstall
20-Jan-2026,KSB Jaguars,KSB G,Kay St Rawtenstall
28-Jan-2026,KSB G,Burnley Scorpions,Kay St Rawtenstall
