Date,Home Team,Away Team,Venue
15-Sep-2025,KSB Leopards (Jun),Burnley Scorpions,Kay St Rawtenstall
22-Sep-2025,KSB Panthers (Jun),KSB Leopards (Jun),Kay St Rawtenstall
29-Sep-2025,KSB Leopards (Jun),KSB G,Kay St Rawtenstall
06-Oct-2025,KSB Pumas (Jun),KSB Leopards (Jun),Kay St Rawtenstall
20-Oct-2025,KSB Leopards (Jun),Whalley Kites,Kay St Rawtenstall
27-Oct-2025,Burnley Wasps,KSB Leopards (Jun),Kay St Rawtenstall
03-Nov-2025,KSB Leopards (Jun),Hyndburn TTC,Kay St Rawtenstall
10-Nov-2025,Ramsbottom B (Cup),KSB Leopards (Jun) (Cup),Kay St Rawtenstall (Cup)
17-Nov-2025,KSB Leopards (Jun),Whalley Merlins,Kay St Rawtenstall
24-Nov-2025,KSB Jaguars,KSB Leopards (Jun),Kay St Rawtenstall
01-Dec-2025,Burnley Scorpions,KSB Leopards (Jun),Kay St Rawtenstall
08-Dec-2025,KSB Leopards (Jun),KSB Panthers (Jun),Kay St Rawtenstall
05-Jan-2026,KSB G,KSB Leopards (Jun),Kay St Rawtenstall
12-Jan-2026,KSB Leopards (Jun) (Cup),KSB Tigers (Jun) (Cup),Kay St Rawtenstall (Cup)
19-Jan-2026,KSB Leopards (Jun),KSB Pumas (Jun),Kay St Rawtenstall
26-Jan-2026,Whalley Kites,KSB Leopards (Jun),Kay St Rawtenstall
09-Feb-2026,KSB Leopards (Jun),Burnley Wasps,Kay St Rawtenstall
23-Feb-2026,Hyndburn TTC,KSB Leopards (Jun),Kay St Rawtenstall
02-Mar-2026,Whalley Merlins,KSB Leopards (Jun),Kay St Rawtenstall
09-Mar-2026,KSB Leopards (Jun),KSB Jaguars,Kay St Rawtenstall
