Date,Home Team,Away Team,Venue
16-Sep-2025,KSB Lions,Whalley Harriers,Kay St Rawtentstall
25-Sep-2025,Burnley Bees,KSB Lions,St Peters Centre
30-Sep-2025,KSB Lions,Slayers,Kay St Rawtentstall
09-Oct-2025,Brierfield,KSB Lions,Brierfield Methodist
14-Oct-2025,KSB Lions (Cup),Whalley Eagles (Cup),Kay St Rawtentstall (Cup)
21-Oct-2025,KSB Lions,KSB F,Kay St Rawtentstall
30-Oct-2025,Whalley Ospreys,KSB Lions,HTTC
04-Nov-2025,KSB Lions,Vanguard Tornados,Kay St Rawtentstall
12-Nov-2025,KSB A (Cup),KSB Lions (Cup),Kay St Rawtenstall (Cup)
17-Nov-2025,Doals,KSB Lions,Doals Centre Weir
25-Nov-2025,KSB Lions,KSB Tigers (Jun),Kay St Rawtenstall
03-Dec-2025,Whalley Harriers,KSB Lions,Whalley Village Hall
09-Dec-2025,KSB Lions,Burnley Bees,Kay St Rawtentstall
07-Jan-2026,Slayers,KSB Lions,HTTC
20-Jan-2026,KSB Lions,Brierfield,Kay St Rawtentstall
27-Jan-2026,KSB F,KSB Lions,Kay St Rawtentstall
10-Feb-2026,KSB Lions,Whalley Ospreys,Kay St Rawtentstall
23-Feb-2026,Vanguard Tornados,KSB Lions,Vanguard Com Centre
03-Mar-2026,KSB Lions,Doals,Kay St Rawtentstall
09-Mar-2026,KSB Tigers (Jun),KSB Lions,Kay St Rawtenstall
