Date,Home Team,Away Team,Venue
15-Sep-2025,Hyndburn TTC,KSB Panthers (Jun),Kay St Rawtenstall
22-Sep-2025,KSB Panthers (Jun),KSB Leopards (Jun),Kay St Rawtenstall
29-Sep-2025,KSB Jaguars,KSB Panthers (Jun),Kay St Rawtenstall
06-Oct-2025,KSB Panthers (Jun),Burnley Scorpions,Kay St Rawtenstall
20-Oct-2025,Whalley Merlins,KSB Panthers (Jun),Kay St Rawtenstall
27-Oct-2025,KSB G,KSB Panthers (Jun),Kay St Rawtenstall
03-Nov-2025,KSB Panthers (Jun),KSB Pumas (Jun),Kay St Rawtenstall
17-Nov-2025,Whalley Kites,KSB Panthers (Jun),Kay St Rawtenstall
24-Nov-2025,KSB Panthers (Jun),Burnley Wasps,Kay St Rawtenstall
01-Dec-2025,KSB Panthers (Jun),Hyndburn TTC,Kay St Rawtenstall
08-Dec-2025,KSB Leopards (Jun),KSB Panthers (Jun),Kay St Rawtenstall
05-Jan-2026,KSB Panthers (Jun),KSB Jaguars,Kay St Rawtenstall
19-Jan-2026,Burnley Scorpions,KSB Panthers (Jun),Kay St Rawtenstall
26-Jan-2026,KSB Panthers (Jun),Whalley Merlins,Kay St Rawtenstall
