Date,Home Team,Away Team,Venue
15-Sep-2025,KSB Tigers (Jun),Burnley Bees,Kay St Rawtenstall
22-Sep-2025,Slayers,KSB Tigers (Jun),Kay St Rawtenstall
29-Sep-2025,KSB Tigers (Jun),Brierfield,Kay St Rawtenstall
06-Oct-2025,KSB F,KSB Tigers (Jun),Kay St Rawtenstall
20-Oct-2025,KSB Tigers (Jun),Whalley Ospreys,Kay St Rawtenstall
27-Oct-2025,Vanguard Tornados,KSB Tigers (Jun),Kay St Rawtenstall
03-Nov-2025,KSB Tigers (Jun),Doals,Kay St Rawtenstall
17-Nov-2025,KSB Tigers (Jun),Whalley Harriers,Kay St Rawtenstall
24-Nov-2025,KSB Lions,KSB Tigers (Jun),Kay St Rawtenstall
01-Dec-2025,Burnley Bees,KSB Tigers (Jun),Kay St Rawtenstall
08-Dec-2025,KSB Tigers (Jun),Slayers,Kay St Rawtenstall
05-Jan-2026,Brierfield,KSB Tigers (Jun),Kay St Rawtenstall
19-Jan-2026,KSB Tigers (Jun),KSB F,Kay St Rawtenstall
26-Jan-2026,Whalley Ospreys,KSB Tigers (Jun),Kay St Rawtenstall
